ENSEMBL gene ID	E6_Lung	E4_Lung1	E4_Lung2	E4_Lung3	E1_LUNG3770	E1_LUNG3773	E1_LUNG3842	E1_LUNG3886
ENSBTAG00000008432	16.62886	13.68369	13.34701	12.67404	22.16258	27.54509	15.95098	25.20465
ENSBTAG00000008433	36.87285	16.7341	19.59936	16.84311	22.86456	29.44382	32.97728	31.34312
ENSBTAG00000008438	15.57483	48.15724	50.90805	51.33484	15.48808	16.03331	14.97489	12.49971
ENSBTAG00000008457	10.48882	33.44468	33.62986	30.55556	17.79382	20.3379	17.01175	21.25386
ENSBTAG00000008464	0.459401	0.0	0.0	0.0	1.656744	0.804847	1.243919	0.602446
ENSBTAG00000008472	7.780787	10.65073	9.953076	10.9154	17.56842	19.56275	16.12777	18.20105
ENSBTAG00000008482	57.02578	115.7275	118.1995	111.9614	47.61198	45.56322	47.10746	45.92642
ENSBTAG00000008498	13.40497	19.48934	15.08935	14.83457	69.33431	63.7897	81.49064	55.89253
ENSBTAG00000008499	1.041853	0.656141	0.0	0.230135	6.539292	4.500931	1.777616	2.277666
ENSBTAG00000008507	10.7248	2.700785	3.567485	1.20736	13.24553	8.998075	12.92177	9.78669
ENSBTAG00000008511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSBTAG00000008537	2.890261	0.0	1.156552	0.577324	19.19166	14.00256	12.8216	17.34805
ENSBTAG00000008538	1.018406	0.145454	0.0	0.2112	2.465896	2.066052	1.30418	3.038581
ENSBTAG00000008543	24.43159	25.5467	29.27948	23.44741	28.94488	27.77103	34.4575	33.11705
ENSBTAG00000008544	0.0	0.0	0.024381	0.0	0.081152	0.032748	0.03218	0.0
ENSBTAG00000008546	0.0	0.0	0.0	0.0	0.164209	0.118712	0.162336	0.0
ENSBTAG00000008552	6.757802	1.580936	0.187729	0.473899	0.0	0.0	0.0	0.0
ENSBTAG00000008577	5.801738	37.4403	29.94311	32.7303	12.05157	11.50749	11.05638	11.68519
ENSBTAG00000008590	37.94911	10.45737	24.59029	9.346995	56.63918	65.20715	67.72301	56.64386
ENSBTAG00000008621	50.30121	25.57801	10.77773	28.98804	218.5173	215.7435	166.7308	197.6994
ENSBTAG00000008638	9.752666	2.72384	3.443046	5.409078	11.19707	13.12235	17.32609	11.52435
ENSBTAG00000008664	14.53557	14.17658	16.40863	16.93807	23.29514	25.07569	26.24599	27.96945
ENSBTAG00000008674	25.22666	22.2045	20.88358	17.88749	14.9693	17.65343	19.06678	15.24526
ENSBTAG00000008693	1.700875	0.0	0.0	0.0	5.273529	5.062971	5.545604	7.76784
ENSBTAG00000008703	1.728692	5.709467	6.31518	5.76579	9.554667	9.314359	6.675482	6.454036
ENSBTAG00000008716	24.8408	88.68791	65.75796	77.03896	28.50481	25.7602	36.2095	20.80188
ENSBTAG00000008732	1.934739	3.996483	3.511872	4.446666	4.19634	3.713666	1.354573	3.672271
ENSBTAG00000008734	0.370429	1.533064	0.695136	0.750145	1.200119	1.776268	1.290958	1.048365
ENSBTAG00000008737	15.13075	113.7332	99.30613	112.6649	20.63027	19.88796	23.35455	15.85852
ENSBTAG00000008744	12.67839	7.562287	2.798176	4.454995	15.19159	14.81468	13.67144	15.51533
ENSBTAG00000008747	26.25041	21.92373	25.17618	19.22818	22.79682	22.71274	26.78169	29.66374
ENSBTAG00000008752	0.0	0.962294	1.561454	1.305418	2.634314	1.404024	3.498409	1.53696
ENSBTAG00000008755	21.98593	123.5243	102.2868	118.4988	17.50833	16.56432	19.34158	17.54928
ENSBTAG00000008765	11.28663	6.890292	6.307937	5.496305	31.6235	34.73276	38.81149	34.93912
ENSBTAG00000008771	1.469602	5.536494	13.01297	6.254153	8.591566	5.492668	3.038634	5.389416
ENSBTAG00000008798	3.229293	0.261087	0.321453	0.477259	6.665226	8.4313	5.828557	8.077425
ENSBTAG00000008801	5.926102	2.489471	0.21761	2.617418	12.5253	10.45074	14.17292	10.72681
ENSBTAG00000008808	14.60392	13.44862	16.71311	9.117956	7.733538	6.418952	6.186527	7.338011
ENSBTAG00000008815	8.033565	10.48367	13.37708	10.10527	2.796677	3.742797	3.950793	3.764113
ENSBTAG00000008825	14.06504	21.00241	22.75398	18.90586	7.310128	6.513607	9.486928	7.558949
ENSBTAG00000008826	1.353472	2.178285	3.263479	2.658553	4.132665	3.836637	3.529721	5.421499
ENSBTAG00000008841	21.70506	4.48211	4.798064	6.10084	39.13831	36.29063	43.97854	37.52947
ENSBTAG00000008854	4.492336	0.714179	1.09609	0.981742	8.557296	8.238807	6.518008	7.272462
ENSBTAG00000008863	20.2591	42.23449	51.76453	43.24873	20.08729	20.96733	22.41165	19.86306
ENSBTAG00000008866	1.201489	1.004534	0.772021	0.95873	1.25889	2.029678	1.259701	1.365785
ENSBTAG00000008880	4.002894	2.224015	1.042788	3.159127	10.13629	9.861128	5.775701	5.92756
ENSBTAG00000008883	21.03939	19.90273	28.17795	19.84313	51.98115	35.7449	28.00405	37.87272
ENSBTAG00000008895	6.984589	6.557939	6.472	5.801294	11.00999	13.02546	12.8825	13.82482
ENSBTAG00000008896	28.56952	50.98938	40.6013	44.99144	33.10138	29.49476	28.87001	28.31433
ENSBTAG00000008906	0.0	0.0	0.0	0.0	1.07958	0.792322	1.466594	0.49714
ENSBTAG00000008921	28.22766	37.55871	56.0032	40.80721	32.53203	19.24943	14.9162	15.39729
ENSBTAG00000008925	1.98149	10.1837	7.020763	8.785689	7.003262	6.570478	3.833297	5.816133
ENSBTAG00000008926	11.61208	25.19347	19.55578	24.90155	26.09839	19.42228	20.64118	18.8642
ENSBTAG00000008940	1.801121	0.229128	0.0	0.529452	2.232943	3.813972	0.869751	1.46378
ENSBTAG00000008947	0.453863	0.771719	0.0	0.251371	0.0	0.085209	0.086309	0.15748
ENSBTAG00000008958	1.395661	0.734085	0.746495	1.816347	6.753461	6.878545	6.690331	7.403399
ENSBTAG00000008962	19.58861	23.73599	21.65828	29.14452	19.72289	15.47246	20.13935	15.43885
ENSBTAG00000008978	55.83985	36.32883	36.18863	31.6857	90.3961	87.81686	66.10558	83.55309
ENSBTAG00000008987	22.39688	28.64979	33.25212	29.80367	11.17484	8.715553	7.973088	7.852344
ENSBTAG00000008991	13.27251	6.641002	6.662104	7.387035	13.55481	15.69775	11.89527	16.55512
ENSBTAG00000008994	2.192926	0.0	0.097173	0.0	8.203342	7.235816	8.878507	10.78556
ENSBTAG00000008997	76.06869	9.121615	1.229337	6.124869	138.9813	228.7942	107.2118	164.797
ENSBTAG00000009019	4.569536	1.925751	2.362215	1.576271	7.10793	7.061261	1.867457	3.851802
ENSBTAG00000009023	2.354141	11.01406	5.716547	12.86904	5.603271	4.094142	1.481017	3.804915
ENSBTAG00000009029	5.489703	2.864615	0.772646	2.73135	10.41385	7.690982	13.76736	11.40957
ENSBTAG00000009036	14.25306	4.936697	4.082463	5.935049	28.56422	30.94229	24.57067	29.60608
ENSBTAG00000009049	11.5873	9.764881	3.562014	8.1861	8.387877	12.18166	9.212217	11.47846
ENSBTAG00000009051	199.2587	154.1289	194.418	154.3046	130.3525	266.5378	171.6097	222.6717
ENSBTAG00000009075	10.03577	8.130073	6.764553	7.333278	6.96328	6.270924	6.230617	9.731567
ENSBTAG00000009077	10.76619	4.433784	4.42137	4.115771	23.93232	20.37297	23.99238	21.90988
ENSBTAG00000009080	4.007167	3.96859	5.138655	2.212605	15.24054	15.54139	8.676958	15.06066
ENSBTAG00000009084	17.91289	15.53316	15.24233	19.16942	39.39875	43.34934	44.16335	35.45641
