ENSEMBL gene ID	E1_LIVE3770	E1_LIVE3773	E1_LIVE3842	E1_LIVE3886	E4_Liver1	E4_Liver2	E4_Liver3
ENSBTAG00000014130	291.8377	277.3755	367.9255	257.9753	0.0	20.18313	0.0
ENSBTAG00000014144	0.45014	0.080893	0.228387	0.052125	0.0	0.0	0.0
ENSBTAG00000014147	0.057503	0.0	0.0	0.0	0.0	0.0	0.0
ENSBTAG00000014149	12.52443	10.07424	12.01516	7.553988	1.068005	0.36029	0.306834
ENSBTAG00000014156	1.067991	1.075814	0.973039	0.581699	2.007946	3.617072	2.139862
ENSBTAG00000014162	1.199166	1.206125	1.520722	1.442065	0.84844	0.326085	0.255938
ENSBTAG00000014166	3.472438	3.567116	2.86597	3.20869	4.078892	4.238342	4.942313
ENSBTAG00000014169	0.0	0.0	0.0	0.0	1.089216	0.912497	1.519657
ENSBTAG00000014182	45.86433	42.73837	49.77575	43.68872	29.79913	37.35415	36.11957
ENSBTAG00000014208	536.5671	418.4132	440.67	411.5283	54.42455	100.3826	129.0451
ENSBTAG00000014236	0.0	0.0	0.0	0.0	0.0	0.0	0.0
